Class,Subject,Faculty,Day,Period,Room
CA-4,WEEKLY TEST,WEEKLY_TEST_FACULTY,Monday,1,
CA-5,WEEKLY TEST,WEEKLY_TEST_FACULTY,Monday,1,
CS-1,WEEKLY TEST,WEEKLY_TEST_FACULTY,Monday,1,
CS-2,WEEKLY TEST,WEEKLY_TEST_FACULTY,Monday,1,
CS-3,WEEKLY TEST,WEEKLY_TEST_FACULTY,Monday,1,
CS-4,WEEKLY TEST,WEEKLY_TEST_FACULTY,Monday,1,
CS-5,WEEKLY TEST,WEEKLY_TEST_FACULTY,Monday,1,
EC-1,WEEKLY TEST,WEEKLY_TEST_FACULTY,Monday,1,
EC-2,WEEKLY TEST,WEEKLY_TEST_FACULTY,Monday,1,
EC-3,WEEKLY TEST,WEEKLY_TEST_FACULTY,Monday,1,
EE-1,WEEKLY TEST,WEEKLY_TEST_FACULTY,Monday,1,
EE-2,WEEKLY TEST,WEEKLY_TEST_FACULTY,Monday,1,
IT-1,WEEKLY TEST,WEEKLY_TEST_FACULTY,Monday,1,
EE-2,HWYS,PD,Tuesday,6,
EE-2,HWYS,PD,Tuesday,7,
EE-2,EWS,ME7,Thursday,6,
EE-2,EWS,ME7,Thursday,7,
EE-2,BCME,ME2,Wednesday,6,
EE-2,BCME,ME2,Wednesday,7,
EE-2,LIB,LIB,Friday,7,
EE-2,DEVC,M5,Monday,2,
EE-2,DEVC,M5,Tuesday,1,
EE-2,DEVC,M5,Wednesday,1,
EE-2,DEVC,M5,Thursday,3,
EE-2,DEVC,M5,Saturday,2,
CA-1,WEEKLY TEST,WEEKLY_TEST_FACULTY,Monday,1,
CA-2,WEEKLY TEST,WEEKLY_TEST_FACULTY,Monday,1,
CA-3,WEEKLY TEST,WEEKLY_TEST_FACULTY,Monday,1,
CA-4,WEEKLY TEST,WEEKLY_TEST_FACULTY,Monday,1,
CA-5,WEEKLY TEST,WEEKLY_TEST_FACULTY,Monday,1,
CS-1,WEEKLY TEST,WEEKLY_TEST_FACULTY,Monday,1,
CS-2,WEEKLY TEST,WEEKLY_TEST_FACULTY,Monday,1,
CS-3,WEEKLY TEST,WEEKLY_TEST_FACULTY,Monday,1,
CS-4,WEEKLY TEST,WEEKLY_TEST_FACULTY,Monday,1,
CS-5,WEEKLY TEST,WEEKLY_TEST_FACULTY,Monday,1,
EC-1,WEEKLY TEST,WEEKLY_TEST_FACULTY,Monday,1,
EC-2,WEEKLY TEST,WEEKLY_TEST_FACULTY,Monday,1,
EC-3,WEEKLY TEST,WEEKLY_TEST_FACULTY,Monday,1,
EE-1,WEEKLY TEST,WEEKLY_TEST_FACULTY,Monday,1,
EE-2,WEEKLY TEST,WEEKLY_TEST_FACULTY,Monday,1,
IT-1,WEEKLY TEST,WEEKLY_TEST_FACULTY,Monday,1,
EE-2,EP,P4,Monday,3,
EE-2,EP,P4,Tuesday,5,
CA-1,WEEKLY TEST,WEEKLY_TEST_FACULTY,Monday,1,
CA-2,WEEKLY TEST,WEEKLY_TEST_FACULTY,Monday,1,
CA-3,WEEKLY TEST,WEEKLY_TEST_FACULTY,Monday,1,
CA-4,WEEKLY TEST,WEEKLY_TEST_FACULTY,Monday,1,
CA-5,WEEKLY TEST,WEEKLY_TEST_FACULTY,Monday,1,
CS-1,WEEKLY TEST,WEEKLY_TEST_FACULTY,Monday,1,
CS-2,WEEKLY TEST,WEEKLY_TEST_FACULTY,Monday,1,
CS-3,WEEKLY TEST,WEEKLY_TEST_FACULTY,Monday,1,
CS-4,WEEKLY TEST,WEEKLY_TEST_FACULTY,Monday,1,
CS-5,WEEKLY TEST,WEEKLY_TEST_FACULTY,Monday,1,
EC-1,WEEKLY TEST,WEEKLY_TEST_FACULTY,Monday,1,
EC-2,WEEKLY TEST,WEEKLY_TEST_FACULTY,Monday,1,
EC-3,WEEKLY TEST,WEEKLY_TEST_FACULTY,Monday,1,
EE-1,WEEKLY TEST,WEEKLY_TEST_FACULTY,Monday,1,
EE-2,WEEKLY TEST,WEEKLY_TEST_FACULTY,Monday,1,
IT-1,WEEKLY TEST,WEEKLY_TEST_FACULTY,Monday,1,
EE-2,EP,P4,Thursday,1,
EE-2,EP,P4,Saturday,4,
EE-2,CE,E5,Monday,4,
EE-2,CE,E5,Tuesday,2,
EE-2,CE,E5,Thursday,5,
EE-2,CE,E5,Saturday,3,
EE-2,BCME,ME2,Tuesday,3,
EE-2,BCME,ME2,Tuesday,4,
EE-2,BCME,ME2,Thursday,4,
EE-2,ECA-I,EE7,Wednesday,5,
EE-2,ECA-I,EE7,Thursday,2,
EE-2,ECA-I,EE7,Saturday,1,
EE-2,ECA-I,EE7,Friday,5,
EE-2,ECA-I,EE7,Friday,6,
EE-2,EP,P4,Friday,3,
EE-2,DEVC,M5,Friday,4,
EE-1,ECA-I,EE7,Friday,1,A57
EE-1,ECA-I,EE7,Friday,2,A57
EE-1,EP,P5,Friday,3,A57
EE-1,EP,P5,Friday,4,A57
CA-1,WEEKLY TEST,WEEKLY_TEST_FACULTY,Monday,1,
CA-2,WEEKLY TEST,WEEKLY_TEST_FACULTY,Monday,1,
CA-3,WEEKLY TEST,WEEKLY_TEST_FACULTY,Monday,1,
CA-4,WEEKLY TEST,WEEKLY_TEST_FACULTY,Monday,1,
CA-5,WEEKLY TEST,WEEKLY_TEST_FACULTY,Monday,1,
CS-1,WEEKLY TEST,WEEKLY_TEST_FACULTY,Monday,1,
CS-2,WEEKLY TEST,WEEKLY_TEST_FACULTY,Monday,1,
CS-3,WEEKLY TEST,WEEKLY_TEST_FACULTY,Monday,1,
CS-4,WEEKLY TEST,WEEKLY_TEST_FACULTY,Monday,1,
CS-5,WEEKLY TEST,WEEKLY_TEST_FACULTY,Monday,1,
EC-1,WEEKLY TEST,WEEKLY_TEST_FACULTY,Monday,1,
EC-2,WEEKLY TEST,WEEKLY_TEST_FACULTY,Monday,1,
EC-3,WEEKLY TEST,WEEKLY_TEST_FACULTY,Monday,1,
EE-1,WEEKLY TEST,WEEKLY_TEST_FACULTY,Monday,1,
EE-2,WEEKLY TEST,WEEKLY_TEST_FACULTY,Monday,1,
IT-1,WEEKLY TEST,WEEKLY_TEST_FACULTY,Monday,1,
EC-1,DEVC,M3,Friday,4,A52
EC-1,CE,E1,Monday,4,A52
