Class_ID,Subject_ID,Faculty_ID,Hours,Room_Type
CA-4,CHE Lab,C6,3,Lab
CA-4,DS Lab,CS4,3,Lab
CA-4,EEEWS,EE6,3,Lab
CA-4,NSS,C6,2,Theory
CA-4,LIB,LIB,2,Theory
CA-5,DEVC,M4,6,Theory
CA-5,DS,CS1,6,Theory
CA-5,CHE,C3,6,Theory
CA-5,BEEE,EE5,5,Theory
CA-5,EGT,ME7,2,Theory
CA-5,EGP,ME7,3,Lab
CA-5,CHE Lab,C3,3,Lab
CA-5,DS Lab,CS1,3,Lab
CA-5,EEEWS,EE13,3,Lab
CA-5,NSS,M4,2,Theory
CA-5,LIB,LIB,2,Theory



